HP3458A
=======
HP3458A
REV 4,1
OPT 0,0
"  .         V DC"
CALNUM 2562
9154, DESTRUCTIVE OVERLOADS valid 2941 
0, DEFEATS valid 2437 
 40.0000000E+03, 40K reference initial value 1 
 39.9975524E+03, 40K reference valid cal value 1 
 40.0800000E+03, 40K reference upper limit 1 
 39.9200000E+03, 40K reference lower limit 1 
 7.20000000E+00, 7V reference initial value 2 
 7.14624294E+00, 7V reference valid cal value 2 
 7.50000000E+00, 7V reference upper limit 2 
 7.00000000E+00, 7V reference lower limit 2 
 0.0000000E+00, dcv zero front 100mV initial value 3 
 1.53091247E-06, dcv zero front 100mV valid cal value 3 
 15.0394468E-06, dcv zero front 100mV upper limit 3 
-15.0394468E-06, dcv zero front 100mV lower limit 3 
 0.0000000E+00, dcv zero rear 100mV initial value 4 
 474.497496E-09, dcv zero rear 100mV valid cal value 4 
 15.0394468E-06, dcv zero rear 100mV upper limit 4 
-15.0394468E-06, dcv zero rear 100mV lower limit 4 
 0.0000000E+00, dcv zero front 1V initial value 5 
 1.62299615E-06, dcv zero front 1V valid cal value 5 
 15.0575401E-06, dcv zero front 1V upper limit 5 
-15.0575401E-06, dcv zero front 1V lower limit 5 
 0.0000000E+00, dcv zero rear 1V initial value 6 
 542.839082E-09, dcv zero rear 1V valid cal value 6 
 15.0575401E-06, dcv zero rear 1V upper limit 6 
-15.0575401E-06, dcv zero rear 1V lower limit 6 
 0.0000000E+00, dcv zero front 10V initial value 7 
 2.37545990E-06, dcv zero front 10V valid cal value 7 
 15.0513672E-06, dcv zero front 10V upper limit 7 
-15.0513672E-06, dcv zero front 10V lower limit 7 
 0.0000000E+00, dcv zero rear 10V initial value 8 
 922.265150E-09, dcv zero rear 10V valid cal value 8 
 15.0513672E-06, dcv zero rear 10V upper limit 8 
-15.0513672E-06, dcv zero rear 10V lower limit 8 
 0.0000000E+00, dcv zero front 100V initial value 9 
 12.7709964E-06, dcv zero front 100V valid cal value 9 
 2.03839637E-03, dcv zero front 100V upper limit 9 
-2.03839637E-03, dcv zero front 100V lower limit 9 
 0.0000000E+00, dcv zero rear 100V initial value 10 
 12.7709964E-06, dcv zero rear 100V valid cal value 10 
 2.03839637E-03, dcv zero rear 100V upper limit 10 
-2.03839637E-03, dcv zero rear 100V lower limit 10 
 0.0000000E+00, dcv zero front 1KV initial value 11 
 16.5514897E-06, dcv zero front 1KV valid cal value 11 
 2.03756073E-03, dcv zero front 1KV upper limit 11 
-2.03756073E-03, dcv zero front 1KV lower limit 11 
 0.0000000E+00, dcv zero rear 1KV initial value 12 
 16.5514897E-06, dcv zero rear 1KV valid cal value 12 
 2.03756073E-03, dcv zero rear 1KV upper limit 12 
-2.03756073E-03, dcv zero rear 1KV lower limit 12 
 0.0000000E+00, ohm zero front 10 initial value 13 
 416.076944E-03, ohm zero front 10 valid cal value 13 
 1.01779036E+00, ohm zero front 10 upper limit 13 
-1.01779036E+00, ohm zero front 10 lower limit 13 
 0.0000000E+00, ohm zero front 100 initial value 14 
 417.254394E-03, ohm zero front 100 valid cal value 14 
 1.01771043E+00, ohm zero front 100 upper limit 14 
-1.01771043E+00, ohm zero front 100 lower limit 14 
 0.0000000E+00, ohm zero front 1K initial value 15 
 416.992157E-03, ohm zero front 1K valid cal value 15 
 1.01893480E+00, ohm zero front 1K upper limit 15 
